Site ,Region,Plot_No,Lichen,Moss,Road_Trail,Rock,Mineral_Soil,Wood,Litter_Duff,LitterDepth1_cm,LitterDepth2_cm
RPD2_B4,LI,106,0,2,0,0,0,0,8,5,4.6
RPD2_B4,LI,108,0,0,0,0,0,1,8,3.5,3
RPD2_B4,LI,110,0,0,0,0,1,4,8,10.5,6
RPD2_B4,LI,112,0,0,0,0,0,0,8,8,5.5
RPD2_B4,LI,114,0,1,0,0,0,2,8,4.5,5
RPD2_B4,LI,116,0,0,0,0,0,0,8,4.5,6
RPD2_B4,LI,118,0,0,0,0,0,0,8,6.5,4
RPD2_B4,LI,120,0,0,0,0,0,2,8,5,4
RPD2_B4,LI,122,0,0,0,0,0,3,8,6,6.5
RPD2_B2,LI,70,0,0,0,0,0,3,8,5.5,4
RPD2_B2,LI,72,0,0,0,0,0,2,8,5.5,5
RPD2_B2,LI,74,0,0,0,0,2,1,8,2,4
RPD2_B2,LI,76,0,0,0,0,0,2,8,3,6
RPD2_B2,LI,78,0,0,0,0,0,2,8,5.5,7
RPD2_B2,LI,80,0,0,0,0,0,3,8,7,8
RPD2_B2,LI,82,0,0,0,0,0,1,8,2,3.5
RPD2_B2,LI,84,0,0,0,0,0,5,6,3,6
RPD2_B2,LI,86,0,0,0,0,1,2,8,6.5,8
RPD2_B9,LI,187,0,0,0,0,0,2,8,4.5,3
RPD2_B9,LI,189,0,0,0,0,0,3,8,6,6
RPD2_B9,LI,191,0,0,0,0,0,4,8,10,11.5
RPD2_B9,LI,193,0,0,0,0,0,2,8,6,3.5
RPD2_B9,LI,195,0,0,0,0,0,5,7,12.5,9.5
Mashpee_G3,MA,330,0,0,0,0,0,1,8,9,8
Mashpee_G3,MA,332,0,0,0,0,0,0,8,3,4
Mashpee_G3,MA,334,0,0,0,0,0,8,1,3.5,3.5
Mashpee_G3,MA,336,0,0,0,0,0,2,8,10.5,10
Mashpee_G3,MA,338,0,0,0,0,0,1,8,2.5,4.5
Mashpee_G3,MA,340,0,0,0,0,0,0,8,6,10
Mashpee_G3,MA,342,0,0,0,0,0,0,0,5,5.5
Mashpee_G3,MA,344,0,0,0,0,0,2,8,6.5,2
Mashpee_G3,MA,346,0,1,0,0,0,0,8,9.5,10
Mashpee_G3,MA,348,0,0,0,0,0,1,8,8,12
Mashpee_G3,MA,350,0,0,0,0,0,0,8,5,8
CE_BP20,MA,568,0,0,0,0,0,2,8,5.5,4
CE_BP20,MA,566,0,0,0,0,0,3,8,4,3.5
CE_BP20,MA,564,0,2,0,0,0,0,8,7,6.5
CE_BP20,MA,562,0,0,0,0,0,2,8,2,1
CE_BP20,MA,560,0,0,0,0,1,0,8,3.5,1.5
CE_BP20,MA,558,1,4,0,0,2,2,7,0.5,0
CE_BP20,MA,556,0,0,0,0,0,2,8,6,5.5
CE_BP20,MA,554,1,1,4,0,0,0,7,2,1.5
CE_BP20,MA,552,2,1,0,0,0,0,8,5,3.5
CE_BP20,MA,550,0,1,0,0,2,2,8,2.5,3.5
CE_BP20,MA,548,0,0,0,0,0,3,8,6,8.5
CE_Wheelock,MA,545,0,1,0,0,1,2,8,4,4.5
CE_Wheelock,MA,543,2,2,0,2,5,2,6,1.5,4.5
CE_Wheelock,MA,541,0,0,0,0,6,2,5,0.5,0
CE_Wheelock,MA,539,1,2,0,0,0,2,8,5.5,8
CE_Wheelock,MA,537,1,2,0,0,0,3,8,10,8
CE_Wheelock,MA,535,1,0,0,0,0,0,8,5,5
CE_Wheelock,MA,533,1,0,0,0,1,0,8,6,2.5
CE_Wheelock,MA,531,1,0,0,0,0,2,8,2.5,7
CE_Wheelock,MA,529,0,2,0,0,0,4,8,3.5,7
CE_Wheelock,MA,527,0,0,0,0,0,0,8,4,6.5
CE_Wheelock,MA,525,0,0,0,0,0,0,8,2.5,3.5
