Site,Region,Plot#,Species_Code,Latin_Name,Live_Total,Dead_Total
APB_Chubb_W,ALB,728,PIRI,Pinus rigida,14,0
APB_Chubb_W,ALB,727,PIRI,Pinus rigida,5,0
APB_Chubb_W,ALB,726,PIRI,Pinus rigida,10,1
APB_Chubb_W,ALB,726,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,726,QUAL,Quercus alba,1,0
APB_Chubb_W,ALB,725,QUCO,Quercus coccinea,3,0
APB_Chubb_W,ALB,725,PIRI,Pinus rigida,9,0
APB_Chubb_W,ALB,725,QURU,Quercus rubra,1,0
APB_Chubb_W,ALB,724,PIRI,Pinus rigida,4,0
APB_Chubb_W,ALB,724,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,724,QURU,Quercus rubra,1,0
APB_Chubb_W,ALB,723,PIRI,Pinus rigida,9,0
APB_Chubb_W,ALB,723,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,723,QUAL,Quercus alba,1,0
APB_Chubb_W,ALB,722,PIRI,Pinus rigida,6,0
APB_Chubb_W,ALB,722,BELE,Betula lenta,3,0
APB_Chubb_W,ALB,722,QUCO,Quercus coccinea,2,0
APB_Chubb_W,ALB,721,PIRI,Pinus rigida,3,3
APB_Chubb_W,ALB,721,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,720,PIRI,Pinus rigida,10,0
APB_Chubb_W,ALB,719,PIRI,Pinus rigida,7,0
APB_Chubb_W,ALB,719,BELE,Betula lenta,1,0
APB_Chubb_W,ALB,719,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,719,PIST,Pinus strobus,1,0
APB_Chubb_W,ALB,718,PIRI,Pinus rigida,11,2
APB_Chubb_W,ALB,717,PIRI,Pinus rigida,5,0
APB_Chubb_W,ALB,716,PIRI,Pinus rigida,4,0
APB_Chubb_W,ALB,716,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,715,PIST,Pinus strobus,2,0
APB_Chubb_W,ALB,715,QUVE,Quercus velutina,1,0
APB_Chubb_W,ALB,715,QUCO,Quercus coccinea,4,0
APB_Chubb_W,ALB,715,ACRU,Acer rubrum,1,0
APB_Chubb_W,ALB,714,PIRI,Pinus rigida,6,0
APB_Chubb_W,ALB,714,QUCO,Quercus coccinea,0,1
APB_Chubb_W,ALB,713,PIRI,Pinus rigida,12,0
APB_Chubb_W,ALB,712,PIRI,Pinus rigida,13,0
APB_Chubb_W,ALB,711,PIRI,Pinus rigida,7,0
APB_Chubb_W,ALB,710,PIRI,Pinus rigida,3,3
APB_Chubb_W,ALB,709,PIRI,Pinus rigida,13,0
APB_Chubb_W,ALB,709,PIST,Pinus strobus,1,0
APB_Chubb_W,ALB,708,PIRI,Pinus rigida,5,0
APB_Chubb_W,ALB,708,QURU,Quercus rubra,1,0
APB_Chubb_W,ALB,708,PIST,Pinus strobus,1,0
APB_Chubb_W,ALB,707,PIRI,Pinus rigida,4,0
APB_Chubb_W,ALB,707,QUCO,Quercus coccinea,1,0
APB_Chubb_W,ALB,706,PIRI,Pinus rigida,3,2
APB_Dandy,ALB,842,PIRI,Pinus rigida,2,0
APB_Dandy,ALB,842,QUCO,Quercus coccinea,1,0
APB_Dandy,ALB,841,PIRI,Pinus rigida,2,1
APB_Dandy,ALB,840,PIRI,Pinus rigida,4,0
APB_Dandy,ALB,839,PIRI,Pinus rigida,3,0
APB_Dandy,ALB,838,PIRI,Pinus rigida,4,0
APB_Dandy,ALB,837,PIRI,Pinus rigida,2,0
APB_Dandy,ALB,836,PIRI,Pinus rigida,8,0
APB_Dandy,ALB,836,PRSE,Prunus serotina,0,1
APB_Dandy,ALB,835,PIRI,Pinus rigida,2,0
APB_Dandy,ALB,834,NA,No species found,0,0
APB_Dandy,ALB,833,NA,No species found,0,0
APB_Dandy,ALB,832,PIRI,Pinus rigida,14,0
APB_Dandy,ALB,831,PIRI,Pinus rigida,3,0
APB_Dandy,ALB,830,PRSE,Prunus serotina,3,0
APB_Dandy,ALB,830,PIRI,Pinus rigida,1,0
APB_Dandy,ALB,829,PIRI,Pinus rigida,4,0
APB_Dandy,ALB,829,PRSE,Prunus serotina,1,0
APB_Dandy,ALB,829,POGR,Populus grandidentata,2,0
APB_Dandy,ALB,828,PIRI,Pinus rigida,5,0
APB_Dandy,ALB,827,QUVE,Quercus velutina,2,0
APB_Dandy,ALB,827,PRSE,Prunus serotina,2,0
APB_Dandy,ALB,826,PIRI,Pinus rigida,3,0
APB_Dandy,ALB,825,PIRI,Pinus rigida,9,0
APB_Dandy,ALB,824,PIRI,Pinus rigida,16,0
APB_Dandy,ALB,823,NA,No species found,0,0
APB_Dandy,ALB,822,PIRI,Pinus rigida,6,0
APB_Dandy,ALB,821,PIRI,Pinus rigida,3,0
APB_Dandy,ALB,820,PIRI,Pinus rigida,8,0
APB_Dandy,ALB,819,PIRI,Pinus rigida,5,0
APB_Dandy,ALB,819,PRSE,Prunus serotina,1,1
APB_Chubb_E,ALB,888,PIRI,Pinus rigida,6,1
APB_Chubb_E,ALB,888,QUCO,Quercus coccinea,1,0
APB_Chubb_E,ALB,887,QUCO,Quercus coccinea,1,0
APB_Chubb_E,ALB,887,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,886,PIRI,Pinus rigida,6,0
APB_Chubb_E,ALB,885,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,884,PIRI,Pinus rigida,1,0
APB_Chubb_E,ALB,884,QUCO,Quercus coccinea,3,0
APB_Chubb_E,ALB,883,PIRI,Pinus rigida,3,0
APB_Chubb_E,ALB,882,NA,No species found,0,0
APB_Chubb_E,ALB,881,QUCO,Quercus coccinea,3,0
APB_Chubb_E,ALB,881,PIRI,Pinus rigida,1,0
APB_Chubb_E,ALB,880,QUCO,Quercus coccinea,1,0
APB_Chubb_E,ALB,879,PIRI,Pinus rigida,2,0
APB_Chubb_E,ALB,878,QUCO,Quercus coccinea,5,0
APB_Chubb_E,ALB,878,PIRI,Pinus rigida,1,0
APB_Chubb_E,ALB,877,PIRI,Pinus rigida,3,0
APB_Chubb_E,ALB,877,SAAL,Sassafras albidum,1,0
APB_Chubb_E,ALB,876,PIRI,Pinus rigida,3,0
APB_Chubb_E,ALB,876,QUCO,Quercus coccinea,0,1
APB_Chubb_E,ALB,875,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,874,PIRI,Pinus rigida,5,0
APB_Chubb_E,ALB,874,QUCO,Quercus coccinea,1,0
APB_Chubb_E,ALB,873,PIRI,Pinus rigida,7,0
APB_Chubb_E,ALB,872,PIRI,Pinus rigida,7,0
APB_Chubb_E,ALB,871,PIRI,Pinus rigida,3,0
APB_Chubb_E,ALB,871,QUCO,Quercus coccinea,2,0
APB_Chubb_E,ALB,870,QUCO,Quercus coccinea,2,0
APB_Chubb_E,ALB,869,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,868,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,867,PIRI,Pinus rigida,5,0
APB_Chubb_E,ALB,867,QUCO,Quercus coccinea,1,0
